Speak only english,% Hispanic,% Hispanic Population Foreign Born,Hispanic Median Household Income
38.16964286,15.20109786,40.90277778,68.816
6.196437659,90.13404198,44.3917002,46.376
6.06544085,78.88634573,44.05203577,43.857
4.153916769,78.34802658,47.43967039,45.343
6.618114969,50.28988619,56.0139263,44.875
5.861935981,49.48152623,57.78229908,36.803
4.776296884,73.07808513,57.13760709,36.216
11.40483017,51.07345698,51.79955703,34.501
11.53521127,23.82691944,50.47581285,36.485
3.560917235,91.02055503,49.35315221,42.808
28.47133129,28.62770847,31.49847095,49.766
40.80996885,15.7974361,34.07258065,24.974
11.00146481,62.05024061,49.61223764,35.431
8.123261666,52.4150853,52.03258791,49.506
6.577686953,62.19745338,57.1478281,30.252
7.63057718,58.99794354,53.99898599,49.859
8.387932348,44.49592463,57.76423472,46.65
8.505132407,32.35601827,58.56466877,44.48
7.749627422,47.94567063,51.34560907,29.25
10.31153429,95.92025547,40.74206596,45.735
8.267593814,96.47172237,44.93149468,43.44
37.39705882,13.24113352,24.92685781,26.599
30.94970272,14.10745899,53.29603871,60.601
12.61269438,51.39900734,46.44944518,42.395
17.41573034,22.01697565,49.26448209,57.388
22.57495591,29.55598845,50.71590909,50.759
6.646442361,52.57172466,58.26632775,36.55
13.72803636,66.16394428,41.64710337,42.849
20.33101641,78.19949616,34.7257721,54.455
8.540606061,90.91038552,43.78678363,39.134
23.4294775,25.63636026,51.21668598,54.154
42.69703543,10.61528307,43.86873921,75.349
41.10693176,10.47016989,45.88679245,61.615
4.841398943,79.99852158,53.74138345,39.096
7.053376906,54.33869839,58.22279459,40.509
21.3155936,38.59030837,43.72146119,61.497
19.71638942,95.02757949,37.48186086,46.434
38.06917914,35.99518735,31.20045841,60.854
19.36101892,62.53066004,41.54624826,53.364
12.51559576,30.24001046,57.34573241,49.827
5.721672279,65.02720151,49.81210856,42.53
39.02825836,17.98259669,30.10281014,103.956
47.19634703,11.19842829,45.66666667,64.627
7.751472179,35.55464784,51.5400186,55.127
49.39956332,8.678858951,46.70241287,80.978
59.59648215,5.604371465,37.38363547,82.111
4.553067428,69.52464508,60.65733624,37.013
8.106904232,90.2133922,40.82381729,19.918
7.169332144,69.75857963,41.64131852,50.966
5.571605448,67.0074983,44.85195695,50.376
5.237456913,63.00534581,55.30072031,53.418
9.838049921,95.73360504,39.19345163,48.317
24.96302869,13.87849566,47.05391884,67.556
17.38160672,58.14984611,40.03405263,53.179
23.17173899,28.55307857,48.94045223,52.129
44.05594406,10.53479992,56.21062106,51.701
51.50141643,8.813643104,47.33595064,95.968
63.88059701,12.36389539,13.33333333,179.167
6.866498514,94.30098563,43.37937059,44.325
8.963979417,61.20377909,41.62284229,57.422
6.579916523,76.35427952,42.32503927,52.071
7.753599553,72.9939759,38.12824957,56.944
20.86112796,33.13549729,42.40605669,57.017
25.96045198,24.50608931,40.33683048,75.096
19.4267865,73.88028622,32.99682279,86.064
20.78841193,75.36040727,35.17671262,71.166
18.31760744,74.72010119,33.97385662,72.654
56.09853,16.19150081,25.21225544,74.931
13.16211878,49.33013066,46.34596818,59.198
13.6076594,44.93839924,46.75996933,58.716
19.02920525,40.13394377,48.99594607,52.097
13.66947696,54.89739575,44.68005254,54.772
65.71790006,9.371001587,29.49208083,113.375
5.905947237,97.22470308,47.53143124,45.112
14.90052133,57.99523358,41.45459947,63.494
5.932069371,88.20318703,41.07530338,53.931
52.80373832,9.708143032,40.27538726,160.75
66.65431641,7.994366197,31.25440451,79.199
4.993279844,98.3545278,47.29115433,44.22
58.99497487,4.665033057,39.34588702,176.786
49.20477137,8.599018395,34.52436195,129.98
55.88095238,10.34499122,36.83486239,84.875
46.87430478,13.71636948,36.34079967,95.915
52.9478458,16.69979131,27.58107706,118.077
8.800750719,95.58018639,43.48157729,52.564
31.31845842,19.51020408,43.00114112,51.005
41.89497717,14.21275927,26.69983416,116.3
9.78669423,59.96495266,48.17027958,52.128
15.65929819,46.28710397,44.31409241,44.787
6.299725156,61.6558628,48.68911365,54.167
7.073684211,88.96554382,46.48442577,48.391
19.93166287,12.20582369,61.11111111,80.917
50,9.981484599,30.86003373,79.643
61.9538835,7.46381056,45.90807175,104.063
24.84995945,27.90352828,46.32697718,63.696
36.97318008,15.61656485,43.68887878,70.333
